Location,Tournament,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,AvgW,AvgL,target
68,20,3,0,2,1,1,765,679,5.0,44.0,5115.0,1055.0,1.27,3.86,1
23,131,3,1,2,1,2,337,202,32.0,85.0,1320.0,626.0,1.22,4.29,1
7,4,0,1,2,0,2,720,3,64.0,88.0,815.0,616.0,1.81,1.98,1
46,70,0,1,2,0,1,559,22,51.0,41.0,961.0,1061.0,2.4,1.56,1
35,118,0,1,0,4,2,269,216,313.0,31.0,150.0,1270.0,1.94,1.86,0
68,47,2,1,0,0,4,63,662,14.0,47.0,2885.0,943.0,1.2,4.54,1
57,83,3,1,0,0,2,472,489,16.0,43.0,2220.0,985.0,1.15,5.23,1
53,17,2,1,2,2,4,623,165,29.0,1.0,1290.0,16790.0,23.17,1.01,0
82,109,0,1,2,0,2,114,242,86.0,131.0,620.0,435.0,1.32,3.37,1
96,32,1,1,2,1,2,235,489,13.0,46.0,2150.0,945.0,1.48,2.6,1
48,85,3,1,0,0,1,493,677,78.0,91.0,783.0,725.0,2.2,1.67,1
64,57,0,1,1,4,2,116,332,136.0,38.0,418.0,1135.0,5.5,1.14,0
68,47,2,1,0,1,3,662,3,45.0,40.0,1035.0,1101.0,1.38,3.05,1
68,47,2,1,0,0,4,114,63,86.0,20.0,680.0,1750.0,2.58,1.51,1
23,131,3,1,2,2,1,208,592,3.0,70.0,7460.0,836.0,1.1,7.12,0
87,78,0,1,1,0,2,623,51,45.0,43.0,1020.0,1045.0,2.12,1.7,1
53,17,2,1,2,0,3,376,47,87.0,29.0,637.0,1485.0,1.93,1.88,0
81,108,3,1,2,1,2,216,10,26.0,10.0,1470.0,2475.0,2.64,1.47,0
68,47,2,1,0,1,4,529,510,51.0,21.0,1020.0,1710.0,4.28,1.23,0
15,26,0,1,2,4,2,121,677,13.0,20.0,2405.0,1600.0,1.39,2.98,0
56,113,3,1,2,3,2,379,765,20.0,5.0,1945.0,4505.0,1.62,2.31,0
13,107,0,1,0,0,1,458,544,43.0,157.0,1461.0,470.0,1.42,2.86,1
66,3,1,1,1,2,2,170,138,32.0,292.0,1260.0,168.0,1.23,4.01,1
75,0,1,0,2,0,2,552,349,59.0,22.0,785.0,1460.0,2.23,1.62,1
64,57,0,1,1,1,1,252,552,131.0,61.0,594.0,1106.0,2.56,1.5,1
42,65,0,1,0,0,2,261,424,136.0,68.0,428.0,749.0,1.71,2.11,0
58,93,0,0,2,1,1,472,746,16.0,83.0,2553.0,793.0,1.25,3.88,0
55,94,0,0,2,0,1,252,299,101.0,155.0,758.0,466.0,1.43,2.8,1
36,53,1,1,1,6,2,49,132,16.0,34.0,2030.0,1245.0,2.05,1.77,0
74,64,3,1,0,4,1,320,696,24.0,8.0,1675.0,3860.0,3.98,1.24,1
7,4,0,1,2,0,2,663,337,41.0,48.0,1200.0,1030.0,2.33,1.59,0
61,19,0,1,0,0,2,681,684,635.0,27.0,40.0,1390.0,2.09,1.71,1
97,133,0,1,2,2,1,132,298,87.0,65.0,647.0,811.0,1.41,2.84,0
74,64,3,1,0,0,1,422,569,38.0,19.0,1271.0,1995.0,4.83,1.19,0
43,50,0,1,0,1,1,568,419,43.0,74.0,1505.0,960.0,1.61,2.3,0
95,129,1,0,2,1,1,498,337,38.0,24.0,1340.0,1985.0,2.11,1.72,0
27,37,0,1,2,1,2,10,412,15.0,61.0,2230.0,783.0,1.24,3.85,0
96,32,1,1,2,4,1,679,379,27.0,63.0,1416.0,710.0,3.16,1.35,0
47,71,0,1,0,0,1,577,746,125.0,101.0,640.0,772.0,1.99,1.81,1
29,38,1,1,2,1,1,223,662,35.0,54.0,1150.0,910.0,1.6,2.33,1
1,5,1,1,2,6,2,152,765,9.0,5.0,2745.0,4450.0,1.94,1.87,1
53,17,2,1,2,1,3,526,651,96.0,26.0,748.0,1860.0,2.88,1.42,0
23,131,3,1,2,0,2,170,10,37.0,24.0,1190.0,1505.0,2.42,1.55,0
1,5,1,1,2,6,1,496,163,2.0,22.0,9395.0,1682.0,1.12,6.29,1
