p1_rank,p2_rank,p1_winrate,p2_winrate,surface,target
45.0,81.0,0.6666666666666666,0.6666666666666666,3,1
81.0,45.0,0.6666666666666666,0.6666666666666666,3,0
45.0,71.0,0.6666666666666666,0.6666666666666666,3,1
71.0,45.0,0.6666666666666666,0.6666666666666666,3,0
1.0,116.0,0.6666666666666666,0.8,3,1
116.0,1.0,0.8,0.6666666666666666,3,0
7.0,101.0,0.8,0.5,3,1
101.0,7.0,0.5,0.8,3,0
54.0,39.0,1.0,0.8571428571428571,3,1
39.0,54.0,0.8571428571428571,1.0,3,0
11.0,90.0,0.6666666666666666,0.6666666666666666,3,1
90.0,11.0,0.6666666666666666,0.6666666666666666,3,0
31.0,91.0,0.5,0.3333333333333333,3,1
91.0,31.0,0.3333333333333333,0.5,3,0
2.0,47.0,1.0,0.6,3,1
47.0,2.0,0.6,1.0,3,0
42.0,52.0,0.7142857142857143,0.5,3,1
52.0,42.0,0.5,0.7142857142857143,3,0
42.0,16.0,0.7142857142857143,0.5,3,1
16.0,42.0,0.5,0.7142857142857143,3,0
8.0,56.0,0.75,0.6666666666666666,3,1
56.0,8.0,0.6666666666666666,0.75,3,0
5.0,86.0,0.6666666666666666,0.6666666666666666,3,1
86.0,5.0,0.6666666666666666,0.6666666666666666,3,0
54.0,26.0,1.0,0.6,3,1
26.0,54.0,0.6,1.0,3,0
28.0,120.0,0.6666666666666666,0.6666666666666666,3,1
120.0,28.0,0.6666666666666666,0.6666666666666666,3,0
46.0,31.0,0.6,0.5,3,1
31.0,46.0,0.5,0.6,3,0
2.0,48.0,1.0,0.6,3,1
48.0,2.0,0.6,1.0,3,0
4.0,72.0,1.0,0.3333333333333333,3,1
72.0,4.0,0.3333333333333333,1.0,3,0
5.0,38.0,0.6666666666666666,0.6,3,1
38.0,5.0,0.6,0.6666666666666666,3,0
7.0,54.0,0.8,1.0,3,1
54.0,7.0,1.0,0.8,3,0
66.0,82.0,0.6666666666666666,0.5,3,1
82.0,66.0,0.5,0.6666666666666666,3,0
15.0,28.0,0.5,0.6666666666666666,3,1
28.0,15.0,0.6666666666666666,0.5,3,0
46.0,2.0,0.6,1.0,3,1
2.0,46.0,1.0,0.6,3,0
1.0,42.0,0.6666666666666666,0.7142857142857143,3,1
42.0,1.0,0.7142857142857143,0.6666666666666666,3,0
4.0,37.0,1.0,0.5,3,1
37.0,4.0,0.5,1.0,3,0
5.0,10.0,0.6666666666666666,1.0,3,1
10.0,5.0,1.0,0.6666666666666666,3,0
7.0,66.0,0.8,0.6666666666666666,3,1
66.0,7.0,0.6666666666666666,0.8,3,0
1.0,8.0,0.6666666666666666,0.75,3,1
8.0,1.0,0.75,0.6666666666666666,3,0
4.0,5.0,1.0,0.6666666666666666,3,1
5.0,4.0,0.6666666666666666,1.0,3,0
1.0,4.0,0.6666666666666666,1.0,3,1
4.0,1.0,1.0,0.6666666666666666,3,0
55.0,93.0,0.3333333333333333,0.3333333333333333,3,1
93.0,55.0,0.3333333333333333,0.3333333333333333,3,0
69.0,92.0,0.25,0.25,3,1
92.0,69.0,0.25,0.25,3,0
84.0,91.0,0.5,0.3333333333333333,3,1
91.0,84.0,0.3333333333333333,0.5,3,0
67.0,25.0,0.6666666666666666,0.6666666666666666,3,1
25.0,67.0,0.6666666666666666,0.6666666666666666,3,0
46.0,88.0,0.875,0.3333333333333333,3,1
88.0,46.0,0.3333333333333333,0.875,3,0
84.0,36.0,0.5,0.7272727272727273,3,1
36.0,84.0,0.7272727272727273,0.5,3,0
55.0,86.0,0.3333333333333333,0.6,3,1
86.0,55.0,0.6,0.3333333333333333,3,0
100.0,41.0,0.0,0.7142857142857143,3,1
41.0,100.0,0.7142857142857143,0.0,3,0
33.0,46.0,0.625,0.875,3,1
